insuranceaddress|accidentcountry|accidentdate|accidenttime
Rua dos Pescadores 1749-012 Lisboa|Portugal|12-02-2023|23:47
Piazza del Popolo 00187 Roma|Italia|03/01/2023|14:05
Carrer de Pau Claris 08009 Barcelona|Spain|25122022|07:13
Unter den Linden 78, 10117 Berlin|Deutschland|07/11/22|17:29
Avenue des Gobelins, 75013 Paris|France|2022/10/01|08:56 a.m.
Náměstí Republiky 10, 110 00 Praha 1|Česká republika|06-09-2022|12:34
Korte Leidsedwarsstr 12-14 1017 Amsterdam|Netherlands|22/8/2022|21:18
Ulica Krupnicza 7, 31-123 Kraków|Polska.|2022-7-1|05:42
Vasagatan 14, 111 20 Stockholm|Sverige|26.06.2022|16:09
Andrássy út 60, 1061 Budapest|Hungary|13/05/2022|09:30pm

























